file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i01-p0001.jpg,1584,2048,1,dra037-s01-b002-f028-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0001.jpg,2048,1544,1,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0002.jpg,2048,1544,2,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0003.jpg,2048,1544,3,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0004.jpg,2048,1544,4,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0005.jpg,2048,1556,5,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0006.jpg,2048,1556,6,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0007.jpg,2048,1556,7,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0008.jpg,2048,1556,8,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0009.jpg,2048,1556,9,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0010.jpg,2048,1556,10,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0011.jpg,2048,1556,11,dra037-s01-b002-f028-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0012.jpg,1359,2048,12,dra037-s01-b002-f028-i02
