file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i01-p0001.jpg,1159,2048,1,dra037-s01-b002-f030-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i10-p0001.jpg,916,2048,1,dra037-s01-b002-f030-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i11-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i11-p0001.jpg,2048,1578,1,dra037-s01-b002-f030-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i11-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i11-p0002.jpg,1328,2048,2,dra037-s01-b002-f030-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i12-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i12-p0001.jpg,2048,1513,1,dra037-s01-b002-f030-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i12-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i12-p0002.jpg,2048,1513,2,dra037-s01-b002-f030-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i12-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i12-p0003.jpg,2048,1556,3,dra037-s01-b002-f030-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i12-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i12-p0004.jpg,2048,1522,4,dra037-s01-b002-f030-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i12-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i12-p0005.jpg,2048,1522,5,dra037-s01-b002-f030-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i12-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i12-p0006.jpg,2048,1522,6,dra037-s01-b002-f030-i12
