file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i08-p0001.jpg,1360,2048,1,dra037-s01-b005-f061-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i08-p0002.jpg,914,2048,2,dra037-s01-b005-f061-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i08-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i08-p0003.jpg,1349,2048,3,dra037-s01-b005-f061-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i08-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i08-p0004.jpg,1350,2048,4,dra037-s01-b005-f061-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f062-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f062-i07-p0001.jpg,1371,2048,1,dra037-s01-b005-f062-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f062-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f062-i07-p0002.jpg,2048,1842,2,dra037-s01-b005-f062-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f062-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f062-i07-p0003.jpg,1353,2048,3,dra037-s01-b005-f062-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f063-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f063-i01-p0001.jpg,1372,2048,1,dra037-s01-b005-f063-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f063-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f063-i01-p0002.jpg,2048,1859,2,dra037-s01-b005-f063-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f063-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f063-i01-p0003.jpg,1348,2048,3,dra037-s01-b005-f063-i01
